city,avg_temp
Golden,57.94499999999999
Cross Plains,84.765
Ponchatoula,85.215
Tiptonville,87.89
Grantville,74.345
Las Vegas,77.82499999999999
La Follette,76.995
Crossville,78.18
Bellevue,67.075
Plainfield,81.095
Waianae,74.77000000000001
Kingwood,83.13499999999999
Westphalia,86.035
Woodbridge,77.35
Rocklin,60.825
Beltsville,77.0
Fairfield,60.72
Homosassa,82.61
Chula Vista,66.625
Cartersville,82.35499999999999
Spartanburg,81.80000000000001
Muldrow,86.13
Asheboro,79.445
Gaffney,80.57
Harbor City,66.785
Fort Worth,84.94
Santa Ana,67.035
Broken Arrow,86.255
Lake Butler,83.47999999999999
Twin Oaks,84.425
Fairmont,57.925
Katy,83.0
Oxford,84.075
Ripley,88.33
Somerset,78.36
Bonne Terre,85.065
Forest Hill,83.505
Peoria,81.815
Kissimmee,83.57
Davenport,65.35499999999999
Chicago,81.035
Provo,67.225
Dallas,85.485
Evansville,86.1
Decatur,84.515
Denver,59.54
Waynesburg,74.955
Dublin,85.26
Sterling,53.92
Kerrville,78.01499999999999
Mckinleyville,56.599999999999994
Eden,78.005
Los Angeles,66.535
Gainesville,83.12
Haskins,80.38499999999999
Seminole,84.59
Pico Rivera,66.66
Chicago,81.125
Cheney,53.489999999999995
Brooklyn,72.85
Murfreesboro,86.0
Hollywood,86.99000000000001
Hazleton,68.16
Lewisburg,80.52
Greenville,90.535
Mineral Springs,86.1
Whittier,67.035
Matteson,81.41
Diamond,83.53
Lansing,75.13
Evansville,86.9
Swartz Creek,72.68
Sheboygan,72.905
Ohatchee,81.235
Olympia,49.765
Lake Station,80.015
Brookeville,76.065
Lehigh Acres,86.94
Canyon Lake,83.185
Vancouver,54.69
Danville,59.515
Ashford,85.405
Marbury,83.27
Culver City,66.74000000000001
Scranton,69.97
Pueblo,69.65
Huffman,83.38499999999999
Decatur,83.495
Grand Rapids,77.1
Pittsburg,60.515
Lubbock,77.44999999999999
Forsyth,83.595
Reading,74.75
Upper Marlboro,77.195
Menominee,65.84
Las Vegas,72.555
Arlington,85.84
Orlando,82.125
Hallandale,86.5
Miami Beach,87.015
Kokomo,85.695
Oswego,80.96000000000001
Suwanee,81.93
Crown Point,79.815
Dallas,85.425
Saint Cloud,83.515
Sturgeon Bay,66.2
Charlotte,80.015
Tupelo,85.82
Akron,77.305
Saint Louis,84.705
Minneapolis,58.34
Las Vegas,76.065
Powell,77.7
Elmhurst,72.62
Latrobe,72.64
Columbus,84.71
Fresno,61.22
Katy,83.96
Akron,78.24
Enterprise,84.565
Winter Haven,84.445
Tampa,84.33500000000001
Camarillo,63.585
Wheaton,80.15
Washington,76.92
Denver,79.82499999999999
Chicago,81.03
Croydon,75.365
West Hempstead,72.14
Huntsville,85.43
Winnetka,63.019999999999996
Chapel Hill,82.985
Miami,87.015
Wilmington,79.33000000000001
Camden,84.025
Mount Morris,77.44
Pittsburgh,73.65
Columbus,85.53999999999999
Pittsburgh,72.925
Greenville,81.74000000000001
Minneapolis,58.45
Washington,82.58
Ocean Springs,86.985
Fort Lauderdale,86.49000000000001
Webster,73.965
San Antonio,82.31
Canton,83.125
Fort Worth,86.08
Rochester,74.055
Fort Smith,84.07499999999999
Burgaw,85.20500000000001
Spring Valley,65.345
Hephzibah,84.82
Lakeview,77.44
Troup,83.925
Palmdale,57.53
Pineville,81.5
Brawley,82.255
Madison,69.38499999999999
Beaver,72.67
Havana,78.8
Easley,81.34
Kissimmee,83.425
Minneapolis,58.44
Deer Park,54.144999999999996
Miami,86.985
Aberdeen,51.629999999999995
Oklahoma City,83.715
Kapolei,74.335
New York,73.30000000000001
Bolivar,86.165
Goddard,83.2
Hereford,76.03
Houston,84.02000000000001
Hyattsville,77.65
Youngsville,84.505
Richmond,82.195
Cincinnati,82.05
Silsbee,82.985
Richmond,83.965
Savannah,85.02
Huntington,79.235
Bronx,72.50999999999999
Chamberlain,55.78
Villa Rica,81.13499999999999
Staten Island,73.355
Gilbert,79.43
Hays,69.5
Whitehall,73.4
Logansport,81.10499999999999
Orlando,82.03999999999999
Las Vegas,76.04499999999999
Los Angeles,66.03999999999999
Norco,66.655
Mexia,84.705
Commerce City,60.19
Portland,54.925
Lawrenceville,82.155
Bonneau,85.695
Montgomery,84.46000000000001
Utica,74.78
Wadsworth,77.55000000000001
Oak Hill,74.975
Lenexa,82.08500000000001
Campbellsville,81.77000000000001
Lanham,77.46000000000001
Houston,83.66
Cary,82.235
Blythewood,83.68
Boron,58.81
Florence,86.28
Lakeland,84.30000000000001
Newberry,82.605
Flint,71.29499999999999
Detroit,75.01
Plainwell,78.195
Lake In The Hills,78.87
Lodi,62.55500000000001
Clarksburg,74.66
Center Ridge,82.715
Lewiston,57.084999999999994
Havertown,74.67
Boynton Beach,87.08
Carson City,47.67
Livonia,74.83
Bradenton,85.08500000000001
Philadelphia,75.33500000000001
Lovington,75.64500000000001
Buffalo,74.375
Dallas,86.1
Takoma Park,77.33
Atascadero,57.03
Joliet,81.695
Minneapolis,58.795
Sacramento,61.675
Myrtle Creek,57.545
Miami,86.495
Lafayette,84.235
Antioch,84.88
Orlando,81.98500000000001
Grand Prairie,86.055
Indianapolis,82.815
Saint Louis,85.1
Houston,84.58
Phoenix,79.655
Santa Rosa,58.28
Rome,69.25
Vista,65.91
Toccoa,81.105
San Lorenzo,61.53
Quail Valley,62.625
Sparta,85.805
Chesapeake,82.06
West Jefferson,73.59
Bellbrook,80.69
Little Rock,86.33500000000001
Opa Locka,87.005
Albuquerque,69.93
Pensacola,85.475
Knoxville,78.07
Springfield,80.015
Grand Rapids,77.0
Lake Worth,87.08
Dothan,84.4
Houston,84.63499999999999
Mobile,86.46000000000001
Hemet,65.36500000000001
Raleigh,83.055
North Hollywood,64.19
Danville,73.88499999999999
Starks,83.075
Brooklyn,73.355
Hattiesburg,87.15
Dayton,79.725
Gladewater,85.265
Deland,79.85
Phoenix,80.05
Grand Junction,61.834999999999994
Irvine,82.545
Saint Louis,85.05
Grafton,74.715
Lancaster,82.785
Panama City,87.055
Park Hills,85.215
Lake Forest,65.51
Levittown,71.58500000000001
Albany,65.875
Four Oaks,84.21000000000001
Cheyenne,51.43000000000001
Buffalo,74.47
Portsmouth,82.065
Englewood,84.02000000000001
Jennerstown,69.92500000000001
Millen,84.59
Juneau,52.41
